,STATION,DOW,ENTRIES,EXITS,REAL_ENTRIES,REAL_EXITS,TOTAL_REAL
0,1 AV,Friday Afternoon,62696598140,46694551431,172306.0,151531.0,323837.0
1,1 AV,Friday Morning,63645157752,49484128863,24182.0,36224.0,60406.0
2,1 AV,Monday Afternoon,61252219378,45241901487,141716.0,135356.0,277072.0
3,1 AV,Monday Morning,60271218215,48051807585,17692.0,28666.0,46358.0
4,1 AV,Saturday Afternoon,57991559669,44834314996,112876.0,113663.0,226539.0
5,1 AV,Saturday Morning,55306782297,45513158300,20763.0,18028.0,38791.0
6,1 AV,Sunday Afternoon,61085835800,45133464544,87913.0,95117.0,183030.0
7,1 AV,Sunday Morning,60484519532,46362615634,18261.0,16350.0,34611.0
8,1 AV,Thursday Afternoon,65312902439,51258710888,179614.0,158725.0,338339.0
9,1 AV,Thursday Morning,63392539734,49178445313,23235.0,34505.0,57740.0
10,1 AV,Tuesday Afternoon,63004692044,47045791308,165992.0,151627.0,317619.0
11,1 AV,Tuesday Morning,60799567995,48391001160,21518.0,33806.0,55324.0
12,1 AV,Wednesday Afternoon,63220987642,47218045622,170529.0,148082.0,318611.0
13,1 AV,Wednesday Morning,63874256210,49995647484,27472.0,38417.0,65889.0
14,103 ST,Friday Afternoon,4517295105,16893640158,235172.0,153718.0,388890.0
15,103 ST,Friday Morning,4540183386,15948763410,81783.0,38189.0,119972.0
16,103 ST,Monday Afternoon,4613648946,15078996259,209361.0,147567.0,356928.0
17,103 ST,Monday Morning,4795835640,16619707197,76965.0,33945.0,110910.0
18,103 ST,Saturday Afternoon,4609465513,14121899055,167649.0,100475.0,268124.0
19,103 ST,Saturday Morning,4737092711,16151980462,26542.0,18994.0,45536.0
20,103 ST,Sunday Afternoon,5074948659,18871525315,138138.0,87089.0,225227.0
21,103 ST,Sunday Morning,4865330921,17201657758,18930.0,15356.0,34286.0
22,103 ST,Thursday Afternoon,4468117823,15428765356,239903.0,160278.0,400181.0
23,103 ST,Thursday Morning,4688708842,16557237928,86710.0,38272.0,124982.0
24,103 ST,Tuesday Afternoon,4702730297,16582715564,248442.0,173581.0,422023.0
25,103 ST,Tuesday Morning,4786113993,17597270529,95948.0,41813.0,137761.0
26,103 ST,Wednesday Afternoon,4468158740,15434299277,237490.0,160578.0,398068.0
27,103 ST,Wednesday Morning,5318181524,20240730318,98128.0,41715.0,139843.0
28,103 ST-CORONA,Friday Afternoon,2459374327,2386530412,141052.0,117019.0,258071.0
29,103 ST-CORONA,Friday Morning,2522065031,2458826550,94022.0,22611.0,116633.0
30,103 ST-CORONA,Monday Afternoon,2382119529,2320787339,127695.0,107102.0,234797.0
31,103 ST-CORONA,Monday Morning,2392184263,2323425646,78091.0,16847.0,94938.0
32,103 ST-CORONA,Saturday Afternoon,2391560901,2322841303,113477.0,87410.0,200887.0
33,103 ST-CORONA,Saturday Morning,2391230498,2322661810,43410.0,23241.0,66651.0
34,103 ST-CORONA,Sunday Afternoon,2388689338,2322248875,100363.0,69149.0,169512.0
35,103 ST-CORONA,Sunday Morning,2391726169,2323087188,22354.0,20125.0,42479.0
36,103 ST-CORONA,Thursday Afternoon,2394835674,2325190425,139312.0,116760.0,256072.0
37,103 ST-CORONA,Thursday Morning,2394345636,2324978680,90818.0,21623.0,112441.0
38,103 ST-CORONA,Tuesday Afternoon,2393353693,2324117697,140064.0,120250.0,260314.0
39,103 ST-CORONA,Tuesday Morning,2382892044,2316540457,93062.0,18401.0,111463.0
40,103 ST-CORONA,Wednesday Afternoon,2330472551,2263973600,141348.0,120481.0,261829.0
41,103 ST-CORONA,Wednesday Morning,2389998329,2314856299,95261.0,20354.0,115615.0
42,104 ST,Friday Afternoon,377714316,317320702,14971.0,8087.0,23058.0
43,104 ST,Friday Morning,45406786704,34726999338,11592.0,1178.0,12770.0
44,104 ST,Monday Afternoon,363728907,303744366,12046.0,6564.0,18610.0
45,104 ST,Monday Morning,54615168382,39107656501,8839.0,943.0,9782.0
46,104 ST,Saturday Afternoon,24307184806,18436478809,8962.0,3970.0,12932.0
47,104 ST,Saturday Morning,57054341461,42336819153,3510.0,970.0,4480.0
48,104 ST,Sunday Afternoon,20945959589,16484102125,7095.0,3187.0,10282.0
49,104 ST,Sunday Morning,63283714413,49532412572,2014.0,783.0,2797.0
50,104 ST,Thursday Afternoon,370342790,308865940,14473.0,8205.0,22678.0
51,104 ST,Thursday Morning,51343171624,35039788863,11494.0,1116.0,12610.0
52,104 ST,Tuesday Afternoon,373544203,306835289,14121.0,7985.0,22106.0
53,104 ST,Tuesday Morning,56745636861,42721168482,12359.0,1118.0,13477.0
54,104 ST,Wednesday Afternoon,382468196,316347323,14464.0,7989.0,22453.0
55,104 ST,Wednesday Morning,56530842835,43294817483,11568.0,1095.0,12663.0
56,110 ST,Friday Afternoon,915972142,938355730,93594.0,67338.0,160932.0
57,110 ST,Friday Morning,921007625,917722403,19577.0,14486.0,34063.0
58,110 ST,Monday Afternoon,940158328,955918803,80052.0,58851.0,138903.0
59,110 ST,Monday Morning,912846382,917873131,16524.0,11410.0,27934.0
60,110 ST,Saturday Afternoon,936960734,926413043,67850.0,46721.0,114571.0
61,110 ST,Saturday Morning,890220600,873307645,9117.0,9429.0,18546.0
62,110 ST,Sunday Afternoon,880945876,922331245,45649.0,36092.0,81741.0
63,110 ST,Sunday Morning,878869684,895612795,6481.0,7818.0,14299.0
64,110 ST,Thursday Afternoon,893126925,884759424,93251.0,65356.0,158607.0
65,110 ST,Thursday Morning,916355085,887617949,20006.0,13780.0,33786.0
66,110 ST,Tuesday Afternoon,955372662,956753959,95405.0,67078.0,162483.0
67,110 ST,Tuesday Morning,953051778,963519127,21290.0,14671.0,35961.0
68,110 ST,Wednesday Afternoon,937354291,923454373,95101.0,64271.0,159372.0
69,110 ST,Wednesday Morning,950897014,970153098,21476.0,16025.0,37501.0
70,111 ST,Friday Afternoon,3740862595,1980112872,104610.0,67533.0,172143.0
71,111 ST,Friday Morning,3990788784,2056523655,76763.0,11762.0,88525.0
72,111 ST,Monday Afternoon,4223149004,2197287861,98114.0,66960.0,165074.0
73,111 ST,Monday Morning,4364562624,2252815661,66065.0,9650.0,75715.0
74,111 ST,Saturday Afternoon,4618638847,2351621942,84161.0,48792.0,132953.0
75,111 ST,Saturday Morning,4535103562,2303232967,30881.0,11985.0,42866.0
76,111 ST,Sunday Afternoon,4661348267,2394108590,73745.0,39764.0,113509.0
77,111 ST,Sunday Morning,4619775507,2356142704,16891.0,10299.0,27190.0
78,111 ST,Thursday Afternoon,4016554143,2076274734,102861.0,70266.0,173127.0
79,111 ST,Thursday Morning,4282627715,2194584892,77920.0,11665.0,89585.0
80,111 ST,Tuesday Afternoon,4088258126,2119826375,104974.0,75002.0,179976.0
81,111 ST,Tuesday Morning,4350696185,2240604404,81973.0,10714.0,92687.0
82,111 ST,Wednesday Afternoon,4274920792,2187809695,107507.0,75026.0,182533.0
83,111 ST,Wednesday Morning,4309542564,2247690761,81936.0,11250.0,93186.0
84,116 ST,Friday Afternoon,13370656547,13574817213,257063.0,133722.0,390785.0
85,116 ST,Friday Morning,27926063506,32273121946,92196.0,35447.0,127643.0
86,116 ST,Monday Afternoon,12200445261,12477060253,209034.0,108243.0,317277.0
87,116 ST,Monday Morning,24534734731,28128520523,77864.0,29470.0,107334.0
88,116 ST,Saturday Afternoon,14013609073,14642404770,185725.0,97207.0,282932.0
89,116 ST,Saturday Morning,24390391035,27779347314,30573.0,16669.0,47242.0
90,116 ST,Sunday Afternoon,18572106750,20336921009,147179.0,74086.0,221265.0
91,116 ST,Sunday Morning,25918078302,29921588309,21539.0,13803.0,35342.0
92,116 ST,Thursday Afternoon,13509862205,13789639636,244921.0,128718.0,373639.0
93,116 ST,Thursday Morning,25953677478,29705356929,97549.0,34716.0,132265.0
94,116 ST,Tuesday Afternoon,12187652783,12481860829,236424.0,126861.0,363285.0
95,116 ST,Tuesday Morning,24991024103,28779704762,99514.0,36195.0,135709.0
96,116 ST,Wednesday Afternoon,12504929800,12835063022,240956.0,126696.0,367652.0
97,116 ST,Wednesday Morning,27192360468,31387055259,99520.0,36005.0,135525.0
98,116 ST-COLUMBIA,Friday Afternoon,37717034778,8053796791,100505.0,44394.0,144899.0
99,116 ST-COLUMBIA,Friday Morning,37879418832,8107254228,13114.0,17855.0,30969.0
100,116 ST-COLUMBIA,Monday Afternoon,40081246670,8551606933,92449.0,43279.0,135728.0
101,116 ST-COLUMBIA,Monday Morning,41236403683,8776118115,10366.0,14653.0,25019.0
102,116 ST-COLUMBIA,Saturday Afternoon,40138130310,8564752153,50637.0,25971.0,76608.0
103,116 ST-COLUMBIA,Saturday Morning,43714769072,9296485310,3581.0,4370.0,7951.0
104,116 ST-COLUMBIA,Sunday Afternoon,40073980067,8549359345,43461.0,24025.0,67486.0
105,116 ST-COLUMBIA,Sunday Morning,41257685706,8781180828,2875.0,2884.0,5759.0
106,116 ST-COLUMBIA,Thursday Afternoon,40024511745,8524547598,116237.0,51317.0,167554.0
107,116 ST-COLUMBIA,Thursday Morning,41219768785,8764744561,13794.0,20360.0,34154.0
108,116 ST-COLUMBIA,Tuesday Afternoon,40059395717,8539762131,115307.0,51729.0,167036.0
109,116 ST-COLUMBIA,Tuesday Morning,41248032601,8777817613,13602.0,19416.0,33018.0
110,116 ST-COLUMBIA,Wednesday Afternoon,40047298331,8532613251,116130.0,52910.0,169040.0
111,116 ST-COLUMBIA,Wednesday Morning,41238702964,8773329540,13670.0,19602.0,33272.0
112,121 ST,Friday Afternoon,210630266,166913907,6955.0,2906.0,9861.0
113,121 ST,Friday Morning,215698839,169240428,3379.0,629.0,4008.0
114,121 ST,Monday Afternoon,199491568,158425099,5887.0,2481.0,8368.0
115,121 ST,Monday Morning,202386595,159141559,2605.0,500.0,3105.0
116,121 ST,Saturday Afternoon,204050809,159978354,3895.0,1723.0,5618.0
117,121 ST,Saturday Morning,202194255,154039852,1328.0,475.0,1803.0
118,121 ST,Sunday Afternoon,201448293,158895357,3058.0,1419.0,4477.0
119,121 ST,Sunday Morning,198772962,152006938,821.0,385.0,1206.0
120,121 ST,Thursday Afternoon,216209491,171371347,7022.0,3179.0,10201.0
121,121 ST,Thursday Morning,217507341,170296215,3463.0,628.0,4091.0
122,121 ST,Tuesday Afternoon,205929026,161436457,6594.0,3190.0,9784.0
123,121 ST,Tuesday Morning,230319466,174530731,3328.0,657.0,3985.0
124,121 ST,Wednesday Afternoon,213574769,169264421,6853.0,3031.0,9884.0
125,121 ST,Wednesday Morning,217786835,168263392,3411.0,623.0,4034.0
126,125 ST,Friday Afternoon,54071670590,32476361620,610357.0,473487.0,1083844.0
127,125 ST,Friday Morning,98293816975,56843709259,137210.0,122050.0,259260.0
128,125 ST,Monday Afternoon,57411754739,33823265501,505645.0,383216.0,888861.0
129,125 ST,Monday Morning,105305693509,60434729198,123754.0,106050.0,229804.0
