,STATION,DOW,ENTRIES,EXITS,REAL_ENTRIES,REAL_EXITS,TOTAL_REAL
0,1 AV,Friday Afternoon,9113000250,4876854169,15942.0,15819.0,31761.0
1,1 AV,Friday Morning,9112966962,4876818330,2093.0,3513.0,5606.0
2,1 AV,Monday Afternoon,9112728570,4876566712,16124.0,16438.0,32562.0
3,1 AV,Monday Morning,9112694847,4876528476,1960.0,3615.0,5575.0
4,1 AV,Saturday Afternoon,9112623222,4876447194,12777.0,13487.0,26264.0
5,1 AV,Saturday Morning,9112596711,4876418985,2315.0,2264.0,4579.0
6,1 AV,Sunday Afternoon,9112672852,4876502523,9640.0,11452.0,21092.0
7,1 AV,Sunday Morning,9112652972,4876479400,2032.0,2129.0,4161.0
8,1 AV,Thursday Afternoon,9112931975,4876783552,17172.0,17320.0,34492.0
9,1 AV,Thursday Morning,9112895807,4876743388,2239.0,3813.0,6052.0
10,1 AV,Tuesday Afternoon,9112795021,4876637328,16649.0,16560.0,33209.0
11,1 AV,Tuesday Morning,9112759897,4876598532,2199.0,3683.0,5882.0
12,1 AV,Wednesday Afternoon,9112863219,4876709799,16799.0,16757.0,33556.0
13,1 AV,Wednesday Morning,9112827560,4876670722,2149.0,3834.0,5983.0
14,103 ST,Friday Afternoon,456358938,1796221496,23406.0,15187.0,38593.0
15,103 ST,Friday Morning,456297982,1796186445,7215.0,3641.0,10856.0
16,103 ST,Monday Afternoon,455949186,1795945658,22355.0,15675.0,38030.0
17,103 ST,Monday Morning,455887252,1795909298,8563.0,4164.0,12727.0
18,103 ST,Saturday Afternoon,455804537,1795855291,17753.0,9688.0,27441.0
19,103 ST,Saturday Morning,455764582,1795833712,2526.0,1542.0,4068.0
20,103 ST,Sunday Afternoon,455862486,1795891045,13195.0,7791.0,20986.0
21,103 ST,Sunday Morning,455831505,1795874260,1770.0,1414.0,3184.0
22,103 ST,Thursday Afternoon,456260480,1796154937,24466.0,16255.0,40721.0
23,103 ST,Thursday Morning,456194262,1796117212,8576.0,4028.0,12604.0
24,103 ST,Tuesday Afternoon,456051338,1796015343,24264.0,17130.0,41394.0
