,STATIONS_LOOKUP,STATIONS_MTA,ZIPS,GEOCODES
0,"59 ST station, New York, NY",59 ST,,"[40.762824, -73.967562]"
1,"5 AV/59 ST station, New York, NY",5 AV/59 ST,10022,"[40.7652386, -73.9747197]"
2,"57 ST-7 AV station, New York, NY",57 ST-7 AV,10106,"[40.765564, -73.9803309]"
3,"49 ST station, New York, NY",49 ST,10020,"[40.760362, -73.9835025]"
4,"TIMES SQ-42 ST station, New York, NY",TIMES SQ-42 ST,10018,"[40.7544507, -73.9867106]"
5,"34 ST-HERALD SQ station, New York, NY",34 ST-HERALD SQ,,
6,"28 ST station, New York, NY",28 ST,,
7,"23 ST station, New York, NY",23 ST,10011,"[40.7453097, -73.9985238]"
8,"14 ST-UNION SQ station, New York, NY",14 ST-UNION SQ,,
9,"8 ST-NYU station, New York, NY",8 ST-NYU,10003,"[40.7306255, -73.9926698]"
10,"PRINCE ST station, New York, NY",PRINCE ST,10012,"[40.7241072, -73.997665]"
11,"CANAL ST station, New York, NY",CANAL ST,10013,"[40.7186743, -74.0006768]"
12,"CITY HALL station, New York, NY",CITY HALL,,
13,"CORTLANDT ST station, New York, NY",CORTLANDT ST,,
14,"RECTOR ST station, New York, NY",RECTOR ST,10006,"[40.708009, -74.01352419999999]"
15,"WHITEHALL S-FRY station, New York, NY",WHITEHALL S-FRY,10004,"[40.7015029, -74.0124647]"
16,"DELANCEY/ESSEX station, New York, NY",DELANCEY/ESSEX,,
17,"BOWERY station, New York, NY",BOWERY,10002,"[40.7203142, -73.9934421]"
18,"CHAMBERS ST station, New York, NY",CHAMBERS ST,10007,"[40.715477, -74.00927]"
19,"FULTON ST station, New York, NY",FULTON ST,10038,"[40.7093381, -74.0083434]"
20,"BROAD ST station, New York, NY",BROAD ST,10005,"[40.7070231, -74.01088360000001]"
21,"7 AV station, New York, NY",7 AV,10019,"[40.7629415, -73.9816377]"
22,"PARK PLACE station, New York, NY",PARK PLACE,10007,"[40.7127256, -74.0077975]"
23,"BOTANIC GARDEN station, New York, NY",BOTANIC GARDEN,,
24,"PROSPECT PARK station, New York, NY",PROSPECT PARK,,
25,"PARKSIDE AV station, New York, NY",PARKSIDE AV,,
26,"CHURCH AV station, New York, NY",CHURCH AV,,
27,"BEVERLEY ROAD station, New York, NY",BEVERLEY ROAD,,
28,"CORTELYOU RD station, New York, NY",CORTELYOU RD,,
29,"NEWKIRK PLAZA station, New York, NY",NEWKIRK PLAZA,,
30,"AVENUE H station, New York, NY",AVENUE H,,
31,"AVENUE J station, New York, NY",AVENUE J,11230,"[40.6252595, -73.9607769]"
32,"AVENUE M station, New York, NY",AVENUE M,11230,"[40.617618, -73.95939899999999]"
