Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,MoM_Price_Change,YoY_Price_Change
"National","National",2018,6,830,950,1178,1583,1844,.4,1.4
"Alabama","State",2018,6,608,662,804,1074,1250,.6,1.1
"Alaska","State",2018,6,815,932,1191,1684,2022,.1,-.7
"Arizona","State",2018,6,701,828,1046,1513,1755,.4,2.4
"Arkansas","State",2018,6,525,572,722,979,1146,.1,.6
"California","State",2018,6,1232,1450,1849,2561,2975,.4,2.1
"Colorado","State",2018,6,871,1025,1300,1873,2195,.5,.9
"Connecticut","State",2018,6,910,1089,1363,1732,2002,.3,1.2
"Delaware","State",2018,6,850,980,1195,1578,1792,.9,.5
"District of Columbia","State",2018,6,1398,1469,1695,2233,2772,.5,-.2
"Florida","State",2018,6,834,968,1206,1634,1962,.4,2.6
"Georgia","State",2018,6,817,865,1020,1354,1645,.3,2.2
"Hawaii","State",2018,6,1275,1439,1888,2704,3267,-.9,-3.6
"Idaho","State",2018,6,569,648,839,1179,1433,.6,2.9
"Illinois","State",2018,6,789,910,1092,1405,1663,.3,-.2
"Indiana","State",2018,6,560,651,819,1077,1216,.2,1.2
"Iowa","State",2018,6,528,611,782,1050,1174,.2,.2
"Kansas","State",2018,6,564,661,847,1149,1324,.4,1.2
"Kentucky","State",2018,6,538,604,769,1048,1207,.1,-.8
"Louisiana","State",2018,6,605,696,845,1093,1279,-.2,-.7
"Maine","State",2018,6,717,787,978,1288,1439,.1,.9
"Maryland","State",2018,6,1111,1247,1502,1958,2370,.5,.9
"Massachusetts","State",2018,6,1137,1302,1619,2032,2259,.6,1.4
"Michigan","State",2018,6,606,718,918,1230,1354,.3,1.5
"Minnesota","State",2018,6,696,846,1075,1492,1746,.3,2.1
"Mississippi","State",2018,6,585,665,810,1070,1210,.3,2.1
"Missouri","State",2018,6,575,663,848,1146,1314,.1,.2
"Montana","State",2018,6,550,613,778,1086,1297,-.2,-.8
"Nebraska","State",2018,6,531,648,829,1115,1254,.1,-.2
"Nevada","State",2018,6,714,870,1092,1585,1907,.5,3.8
"New Hampshire","State",2018,6,909,1021,1303,1714,1917,.5,2.2
"New Jersey","State",2018,6,1091,1251,1535,1985,2292,.3,.8
"New Mexico","State",2018,6,567,665,818,1141,1350,0,.6
"New York","State",2018,6,1157,1278,1521,1955,2153,.5,.7
"North Carolina","State",2018,6,690,748,899,1211,1460,.6,1
"North Dakota","State",2018,6,557,610,785,1104,1266,.3,-.3
"Ohio","State",2018,6,569,659,847,1122,1257,.3,1
"Oklahoma","State",2018,6,532,601,771,1046,1216,.2,.5
"Oregon","State",2018,6,880,988,1213,1758,2111,-.1,-1.1
"Pennsylvania","State",2018,6,711,826,1022,1300,1431,.4,1.2
"Rhode Island","State",2018,6,849,962,1164,1476,1768,.4,-1.1
"South Carolina","State",2018,6,683,778,933,1240,1495,.6,1.8
"South Dakota","State",2018,6,487,565,723,987,1121,.1,.4
"Tennessee","State",2018,6,614,694,857,1143,1346,.4,1.4
"Texas","State",2018,6,731,843,1049,1415,1744,.4,2.1
"Utah","State",2018,6,660,795,983,1411,1646,.3,3.2
"Vermont","State",2018,6,868,977,1232,1630,1791,.5,2.1
