,City,State,Population_2017,Area,Pop_density
0,New York City,New York (state),"8,622,698",780.9,"10,933"
1,Los Angeles,California,"3,999,759","1,213.9","3,276"
2,Chicago,Illinois,"2,716,450",588.7,"4,600"
3,Houston,Texas,"2,312,717","1,651.1","1,395"
4,Phoenix,Arizona,"1,626,078","1,340.6","1,200"
5,Philadelphia,Pennsylvania,"1,580,863",347.6,"4,511"
6,San Antonio,Texas,"1,511,946","1,194.0","1,250"
7,San Diego,California,"1,419,516",842.3,"1,670"
8,Dallas,Texas,"1,341,075",882.9,"1,493"
9,San Jose,California,"1,035,317",459.7,"2,231"
10,Austin,Texas,"950,715",809.9,"1,170"
11,Jacksonville,Florida,"892,062","1,935.8",455
12,San Francisco,California,"884,363",121.5,"7,170"
13,Columbus,Ohio,"879,170",565.9,"1,520"
14,Fort Worth,Texas,"874,168",888.1,962
15,Indianapolis,Indiana,"863,002",936.3,914
16,Charlotte,North Carolina,"859,035",791.0,"1,064"
17,Seattle,Washington (state),"724,745",217.0,"3,245"
18,Denver,Colorado,"704,621",397.0,"1,746"
19,Washington,"Washington, D.C.","693,972",158.2,"4,304"
20,Boston,Massachusetts,"685,094",125.1,"5,381"
21,El Paso,Texas,"683,577",665.1,"1,030"
22,Detroit,Michigan,"673,104",359.5,"1,871"
23,Nashville,Tennessee,"667,560","1,232.6",536
24,Memphis,Tennessee,"652,236",822.1,794
25,Portland,Oregon,"647,805",345.8,"1,851"
26,Oklahoma City,Oklahoma,"643,648","1,570.3",407
27,Las Vegas,Nevada,"641,676",348.1,"1,818"
28,Louisville,Kentucky,"621,349",682.5,903
29,Baltimore,Maryland,"611,648",209.5,"2,934"
30,Milwaukee,Wisconsin,"595,351",249.2,"2,388"
31,Albuquerque,New Mexico,"558,545",487.4,"1,147"
32,Tucson,Arizona,"535,677",597.8,888
33,Fresno,California,"527,438",296.3,"1,762"
34,Sacramento,California,"501,901",253.6,"1,953"
35,Mesa,Arizona,"496,401",357.2,"1,357"
36,Kansas City,Missouri,"488,943",815.8,590
37,Atlanta,Georgia (U.S. state),"486,290",345.8,"1,366"
38,Long Beach,California,"469,450",130.3,"3,609"
39,Omaha,Nebraska,"466,893",345.0,"1,296"
40,Raleigh,North Carolina,"464,758",375.8,"1,221"
41,Colorado Springs,Colorado,"464,474",506.6,918
42,Miami,Florida,"463,347",93.2,"4,865"
43,Virginia Beach,Virginia,"450,435",633.8,710
44,Oakland,California,"425,195",144.8,"2,901"
45,Minneapolis,Minnesota,"422,331",139.9,"2,960"
46,Tulsa,Oklahoma,"401,800",509.7,791
47,Arlington,Texas,"396,394",248.1,"1,600"
48,New Orleans,Louisiana,"393,292",438.7,892
49,Wichita,Kansas,"390,591",415.4,939
50,Cleveland,Ohio,"385,525",201.2,"1,917"
51,Tampa,Florida,"385,430",293.7,"1,284"
52,Bakersfield,California,"380,874",385.4,976
53,Aurora,Colorado,"366,623",397.6,910
54,Anaheim,California,"352,497",129.5,"2,711"
55,Honolulu,Hawaii,"350,395",156.7,"2,245"
56,Santa Ana,California,"334,136",70.2,"4,762"
57,Riverside,California,"327,728",210.3,"1,544"
58,Corpus Christi,Texas,"325,605",452.2,720
59,Lexington,Kentucky,"321,959",734.5,434
60,Stockton,California,"310,496",159.8,"1,922"
61,St. Louis,Missouri,"308,626",160.6,"1,939"
62,St. Paul,Minnesota,"306,621",134.7,"2,245"
63,Henderson,Nevada,"302,539",271.2,"1,080"
64,Pittsburgh,Pennsylvania,"302,407",143.5,"2,116"
65,Cincinnati,Ohio,"301,301",200.5,"1,490"
66,Anchorage,Alaska,"294,356","4,420.1",68
67,Greensboro,North Carolina,"290,222",332.3,864
68,Plano,Texas,"286,143",185.7,"1,540"
69,Newark,New Jersey,"285,154",62.4,"4,514"
70,Lincoln,Nebraska,"284,736",238.5,"1,175"
71,Orlando,Florida,"280,257",272.5,"1,017"
72,Irvine,California,"277,453",169.9,"1,566"
73,Toledo,Ohio,"276,491",209.0,"1,332"
74,Jersey City,New Jersey,"270,753",38.3,"6,891"
75,Chula Vista,California,"270,471",128.5,"2,080"
76,Durham,North Carolina,"267,743",284.4,925
77,Fort Wayne,Indiana,"265,904",286.5,923
78,St. Petersburg,Florida,"263,255",160.1,"1,631"
79,Laredo,Texas,"260,654",261.8,982
80,Buffalo,New York,"258,612",104.6,"2,455"
81,Madison,Wisconsin,"255,214",199.4,"1,270"
82,Lubbock,Texas,"253,888",322.7,783
83,Chandler,Arizona,"253,458",168.1,"1,472"
84,Scottsdale,Arizona,"249,950",476.3,518
85,Reno,Nevada,"248,853",277.9,883
86,Glendale,Arizona,"246,709",153.1,"1,607"
87,Norfolk,Virginia,"244,703",138.0,"1,776"
88,Winston–Salem,North Carolina,"244,605",343.2,706
89,North Las Vegas,Nevada,"242,975",253.8,941
90,Gilbert,Arizona,"242,354",176.1,"1,346"
91,Chesapeake,Virginia,"240,397",876.7,271
92,Irving,Texas,"240,373",173.5,"1,373"
93,Hialeah,Florida,"239,673",55.7,"4,245"
94,Garland,Texas,"238,002",147.6,"1,592"
95,Fremont,California,"234,962",200.7,"1,161"
96,Richmond,Virginia,"227,032",154.9,"1,441"
97,Boise,Idaho,"226,570",212.6,"1,049"
98,Baton Rouge,Louisiana,"225,374",222.5,"1,024"
99,Des Moines,Iowa,"217,521",230.2,936
100,Spokane,Washington,"217,108",177.9,"1,214"
101,San Bernardino,California,"216,995",159.3,"1,358"
102,Modesto,California,"214,221",111.4,"1,905"
103,Tacoma,Washington,"213,418",128.7,"1,641"
104,Fontana,California,"211,815",111.4,"1,883"
105,Santa Clarita,California,"210,888",136.8,"1,331"
106,Birmingham,Alabama,"210,710",378.4,561
107,Oxnard,California,"210,037",69.7,"2,984"
108,Fayetteville,North Carolina,"209,889",382.5,535
109,Rochester,New York,"208,046",92.7,"2,253"
110,Moreno Valley,California,"207,226",132.9,"1,547"
111,Glendale,California,"203,054",78.7,"2,551"
112,Yonkers,New York,"202,019",46.6,"4,307"
113,Huntington Beach,California,"201,874",69.7,"2,880"
114,Aurora,Illinois,"200,965",116.3,"1,729"
115,Salt Lake City,Utah,"200,544",288.0,673
116,Amarillo,Texas,"199,826",262.6,760
117,Montgomery,Alabama,"199,518",413.9,483
118,Grand Rapids,Michigan,"198,829",115.0,"1,708"
119,Little Rock,Arkansas,"198,606",307.4,646
120,Akron,Ohio,"197,846",160.6,"1,231"
121,Augusta,Georgia,"197,166",783.5,252
122,Huntsville,Alabama,"194,585",552.7,349
123,Columbus,Georgia,"194,058",560.5,353
124,Grand Prairie,Texas,"193,837",187.3,"1,018"
125,Shreveport,Louisiana,"192,036",277.4,700
