,Unnamed: 0,City,State,Population_2017,Area,Pop_density,Things_to_do,State_code,Price_1br
0,1,Los Angeles,California,"3,999,759","1,213.9","3,276",624,CA,1361
1,2,Chicago,Illinois,"2,716,450",588.7,"4,600",698,IL,1079
2,3,Houston,Texas,"2,312,717","1,651.1","1,395",332,TX,841
3,4,Phoenix,Arizona,"1,626,078","1,340.6","1,200",239,AZ,836
4,5,Philadelphia,Pennsylvania,"1,580,863",347.6,"4,511",483,PA,972
5,6,San Antonio,Texas,"1,511,946","1,194.0","1,250",282,TX,839
6,7,San Diego,California,"1,419,516",842.3,"1,670",463,CA,1554
7,8,Dallas,Texas,"1,341,075",882.9,"1,493",262,TX,893
8,9,San Jose,California,"1,035,317",459.7,"2,231",89,CA,2082
9,10,Austin,Texas,"950,715",809.9,"1,170",347,TX,1137
10,11,Jacksonville,Florida,"892,062","1,935.8",455,187,FL,874
11,12,San Francisco,California,"884,363",121.5,"7,170",652,CA,2440
12,13,Columbus,Ohio,"879,170",565.9,"1,520",166,OH,739
13,14,Fort Worth,Texas,"874,168",888.1,962,170,TX,917
14,15,Indianapolis,Indiana,"863,002",936.3,914,181,IN,692
15,16,Charlotte,North Carolina,"859,035",791.0,"1,064",189,NC,959
16,17,Seattle,Washington ,"724,745",217.0,"3,245",474,WA,1323
17,18,Denver,Colorado,"704,621",397.0,"1,746",280,CO,1058
18,20,Boston,Massachusetts,"685,094",125.1,"5,381",418,MA,1686
19,21,El Paso,Texas,"683,577",665.1,"1,030",102,TX,687
20,22,Detroit,Michigan,"673,104",359.5,"1,871",160,MI,688
21,23,Nashville,Tennessee,"667,560","1,232.6",536,267,TN,920
22,24,Memphis,Tennessee,"652,236",822.1,794,163,TN,698
23,25,Portland,Oregon,"647,805",345.8,"1,851",472,OR,1120
24,26,Oklahoma City,Oklahoma,"643,648","1,570.3",407,153,OK,630
25,27,Las Vegas,Nevada,"641,676",348.1,"1,818",470,NV,920
26,28,Louisville,Kentucky,"621,349",682.5,903,207,KY,659
27,29,Baltimore,Maryland,"611,648",209.5,"2,934",248,MD,954
28,30,Milwaukee,Wisconsin,"595,351",249.2,"2,388",200,WI,722
29,31,Albuquerque,New Mexico,"558,545",487.4,"1,147",235,NM,704
30,32,Tucson,Arizona,"535,677",597.8,888,320,AZ,697
31,33,Fresno,California,"527,438",296.3,"1,762",60,CA,820
32,34,Sacramento,California,"501,901",253.6,"1,953",188,CA,951
33,35,Mesa,Arizona,"496,401",357.2,"1,357",37,AZ,858
34,36,Kansas City,Missouri,"488,943",815.8,590,171,MO,741
35,37,Atlanta,Georgia ,"486,290",345.8,"1,366",304,GA,1019
36,38,Long Beach,California,"469,450",130.3,"3,609",96,CA,1374
37,39,Omaha,Nebraska,"466,893",345.0,"1,296",133,NE,753
38,40,Raleigh,North Carolina,"464,758",375.8,"1,221",159,NC,974
39,41,Colorado Springs,Colorado,"464,474",506.6,918,165,CO,952
40,42,Miami,Florida,"463,347",93.2,"4,865",125,FL,1083
41,43,Virginia Beach,Virginia,"450,435",633.8,710,139,VA,1070
42,44,Oakland,California,"425,195",144.8,"2,901",127,CA,1754
43,45,Minneapolis,Minnesota,"422,331",139.9,"2,960",237,MN,906
44,46,Tulsa,Oklahoma,"401,800",509.7,791,128,OK,639
45,47,Arlington,Texas,"396,394",248.1,"1,600",47,TX,982
46,48,New Orleans,Louisiana,"393,292",438.7,892,388,LA,799
47,49,Wichita,Kansas,"390,591",415.4,939,81,KS,567
48,50,Cleveland,Ohio,"385,525",201.2,"1,917",197,OH,627
49,51,Tampa,Florida,"385,430",293.7,"1,284",201,FL,1005
50,52,Bakersfield,California,"380,874",385.4,976,42,CA,722
51,53,Aurora,Colorado,"366,623",397.6,910,34,CO,1224
52,54,Anaheim,California,"352,497",129.5,"2,711",159,CA,1622
53,55,Honolulu,Hawaii,"350,395",156.7,"2,245",346,HI,1514
54,56,Santa Ana,California,"334,136",70.2,"4,762",40,CA,1435
55,57,Riverside,California,"327,728",210.3,"1,544",54,CA,1052
56,58,Corpus Christi,Texas,"325,605",452.2,720,108,TX,845
57,59,Lexington,Kentucky,"321,959",734.5,434,135,KY,662
58,60,Stockton,California,"310,496",159.8,"1,922",31,CA,958
59,61,St. Louis,Missouri,"308,626",160.6,"1,939",278,MO,717
60,62,St. Paul,Minnesota,"306,621",134.7,"2,245",129,MN,972
61,63,Henderson,Nevada,"302,539",271.2,"1,080",68,NV,1059
62,64,Pittsburgh,Pennsylvania,"302,407",143.5,"2,116",196,PA,736
63,65,Cincinnati,Ohio,"301,301",200.5,"1,490",202,OH,641
64,66,Anchorage,Alaska,"294,356","4,420.1",68,234,AK,846
65,67,Greensboro,North Carolina,"290,222",332.3,864,79,NC,725
66,68,Plano,Texas,"286,143",185.7,"1,540",45,TX,1146
67,69,Newark,New Jersey,"285,154",62.4,"4,514",41,NJ,1211
68,70,Lincoln,Nebraska,"284,736",238.5,"1,175",76,NE,646
69,71,Orlando,Florida,"280,257",272.5,"1,017",456,FL,1062
70,72,Irvine,California,"277,453",169.9,"1,566",51,CA,2092
71,73,Toledo,Ohio,"276,491",209.0,"1,332",82,OH,592
72,74,Jersey City,New Jersey,"270,753",38.3,"6,891","1,192",NJ,1581
73,75,Chula Vista,California,"270,471",128.5,"2,080",51,CA,1647
74,76,Durham,North Carolina,"267,743",284.4,925,89,NC,929
75,77,Fort Wayne,Indiana,"265,904",286.5,923,65,IN,599
76,78,St. Petersburg,Florida,"263,255",160.1,"1,631",140,FL,946
77,79,Laredo,Texas,"260,654",261.8,982,23,TX,656
