,City,State,Population_2017,Area,Pop_density,Things_to_do,State_code,Price_1br
0,Los Angeles,California,3999759,1213.9,3276,624,CA,1361
1,Chicago,Illinois,2716450,588.7,4600,698,IL,1079
2,Houston,Texas,2312717,1651.1,1395,332,TX,841
3,Phoenix,Arizona,1626078,1340.6,1200,239,AZ,836
4,Philadelphia,Pennsylvania,1580863,347.6,4511,483,PA,972
5,San Antonio,Texas,1511946,1194,1250,282,TX,839
6,San Diego,California,1419516,842.3,1670,463,CA,1554
7,Dallas,Texas,1341075,882.9,1493,262,TX,893
8,San Jose,California,1035317,459.7,2231,89,CA,2082
9,Austin,Texas,950715,809.9,1170,347,TX,1137
10,Jacksonville,Florida,892062,1935.8,455,187,FL,874
11,San Francisco,California,884363,121.5,7170,652,CA,2440
12,Columbus,Ohio,879170,565.9,1520,166,OH,739
13,Fort Worth,Texas,874168,888.1,962,170,TX,917
14,Indianapolis,Indiana,863002,936.3,914,181,IN,692
15,Charlotte,North Carolina,859035,791,1064,189,NC,959
16,Seattle,Washington ,724745,217,3245,474,WA,1323
17,Denver,Colorado,704621,397,1746,280,CO,1058
18,Boston,Massachusetts,685094,125.1,5381,418,MA,1686
19,El Paso,Texas,683577,665.1,1030,102,TX,687
20,Detroit,Michigan,673104,359.5,1871,160,MI,688
21,Nashville,Tennessee,667560,1232.6,536,267,TN,920
22,Memphis,Tennessee,652236,822.1,794,163,TN,698
23,Portland,Oregon,647805,345.8,1851,472,OR,1120
24,Oklahoma City,Oklahoma,643648,1570.3,407,153,OK,630
25,Las Vegas,Nevada,641676,348.1,1818,470,NV,920
26,Louisville,Kentucky,621349,682.5,903,207,KY,659
27,Baltimore,Maryland,611648,209.5,2934,248,MD,954
28,Milwaukee,Wisconsin,595351,249.2,2388,200,WI,722
29,Albuquerque,New Mexico,558545,487.4,1147,235,NM,704
30,Tucson,Arizona,535677,597.8,888,320,AZ,697
31,Fresno,California,527438,296.3,1762,60,CA,820
32,Sacramento,California,501901,253.6,1953,188,CA,951
33,Mesa,Arizona,496401,357.2,1357,37,AZ,858
34,Kansas City,Missouri,488943,815.8,590,171,MO,741
35,Atlanta,Georgia ,486290,345.8,1366,304,GA,1019
36,Long Beach,California,469450,130.3,3609,96,CA,1374
37,Omaha,Nebraska,466893,345,1296,133,NE,753
38,Raleigh,North Carolina,464758,375.8,1221,159,NC,974
39,Colorado Springs,Colorado,464474,506.6,918,165,CO,952
40,Miami,Florida,463347,93.2,4865,125,FL,1083
41,Virginia Beach,Virginia,450435,633.8,710,139,VA,1070
42,Oakland,California,425195,144.8,2901,127,CA,1754
43,Minneapolis,Minnesota,422331,139.9,2960,237,MN,906
44,Tulsa,Oklahoma,401800,509.7,791,128,OK,639
45,Arlington,Texas,396394,248.1,1600,47,TX,982
46,New Orleans,Louisiana,393292,438.7,892,388,LA,799
47,Wichita,Kansas,390591,415.4,939,81,KS,567
48,Cleveland,Ohio,385525,201.2,1917,197,OH,627
49,Tampa,Florida,385430,293.7,1284,201,FL,1005
50,Bakersfield,California,380874,385.4,976,42,CA,722
51,Aurora,Colorado,366623,397.6,910,34,CO,1224
52,Anaheim,California,352497,129.5,2711,159,CA,1622
53,Honolulu,Hawaii,350395,156.7,2245,346,HI,1514
54,Santa Ana,California,334136,70.2,4762,40,CA,1435
55,Riverside,California,327728,210.3,1544,54,CA,1052
56,Corpus Christi,Texas,325605,452.2,720,108,TX,845
57,Lexington,Kentucky,321959,734.5,434,135,KY,662
58,Stockton,California,310496,159.8,1922,31,CA,958
59,St. Louis,Missouri,308626,160.6,1939,278,MO,717
60,St. Paul,Minnesota,306621,134.7,2245,129,MN,972
61,Henderson,Nevada,302539,271.2,1080,68,NV,1059
62,Pittsburgh,Pennsylvania,302407,143.5,2116,196,PA,736
63,Cincinnati,Ohio,301301,200.5,1490,202,OH,641
64,Anchorage,Alaska,294356,4420.1,68,234,AK,846
65,Greensboro,North Carolina,290222,332.3,864,79,NC,725
66,Plano,Texas,286143,185.7,1540,45,TX,1146
67,Newark,New Jersey,285154,62.4,4514,41,NJ,1211
68,Lincoln,Nebraska,284736,238.5,1175,76,NE,646
69,Orlando,Florida,280257,272.5,1017,456,FL,1062
70,Irvine,California,277453,169.9,1566,51,CA,2092
71,Toledo,Ohio,276491,209,1332,82,OH,592
72,Jersey City,New Jersey,270753,38.3,6891,1192,NJ,1581
73,Chula Vista,California,270471,128.5,2080,51,CA,1647
74,Durham,North Carolina,267743,284.4,925,89,NC,929
75,Fort Wayne,Indiana,265904,286.5,923,65,IN,599
76,St. Petersburg,Florida,263255,160.1,1631,140,FL,946
77,Laredo,Texas,260654,261.8,982,23,TX,656
78,Buffalo,New York,258612,104.6,2455,166,NY,716
79,Madison,Wisconsin,255214,199.4,1270,108,WI,834
80,Lubbock,Texas,253888,322.7,783,54,TX,664
81,Chandler,Arizona,253458,168.1,1472,46,AZ,1083
82,Scottsdale,Arizona,249950,476.3,518,172,AZ,1032
83,Reno,Nevada,248853,277.9,883,145,NV,879
84,Glendale,Arizona,246709,153.1,1607,43,AZ,895
85,Norfolk,Virginia,244703,138,1776,80,VA,789
86,North Las Vegas,Nevada,242975,253.8,941,470,NV,924
87,Gilbert,Arizona,242354,176.1,1346,37,AZ,1164
88,Chesapeake,Virginia,240397,876.7,271,28,VA,988
89,Irving,Texas,240373,173.5,1373,41,TX,972
90,Hialeah,Florida,239673,55.7,4245,19,FL,1109
91,Garland,Texas,238002,147.6,1592,262,TX,985
92,Fremont,California,234962,200.7,1161,30,CA,2984
93,Richmond,Virginia,227032,154.9,1441,190,VA,898
94,Boise,Idaho,226570,212.6,1049,139,ID,721
95,Baton Rouge,Louisiana,225374,222.5,1024,81,LA,782
96,Des Moines,Iowa,217521,230.2,936,72,IA,667
97,Spokane,Washington,217108,177.9,1214,113,WA,659
98,San Bernardino,California,216995,159.3,1358,29,CA,848
99,Modesto,California,214221,111.4,1905,22,CA,1110
100,Tacoma,Washington,213418,128.7,1641,17,WA,1238
101,Fontana,California,211815,111.4,1883,8,CA,1061
102,Santa Clarita,California,210888,136.8,1331,25,CA,1998
103,Birmingham,Alabama,210710,378.4,561,99,AL,811
104,Oxnard,California,210037,69.7,2984,40,CA,1221
105,Fayetteville,North Carolina,209889,382.5,535,57,NC,623
106,Rochester,New York,208046,92.7,2253,151,NY,767
107,Moreno Valley,California,207226,132.9,1547,54,CA,1366
108,Glendale,California,203054,78.7,2551,32,CA,1407
109,Huntington Beach,California,201874,69.7,2880,61,CA,1819
110,Aurora,Illinois,200965,116.3,1729,28,IL,1116
111,Salt Lake City,Utah,200544,288,673,181,UT,861
112,Amarillo,Texas,199826,262.6,760,61,TX,643
113,Montgomery,Alabama,199518,413.9,483,78,AL,713
114,Grand Rapids,Michigan,198829,115,1708,91,MI,759
115,Little Rock,Arkansas,198606,307.4,646,108,AR,713
116,Akron,Ohio,197846,160.6,1231,56,OH,621
117,Augusta,Georgia,197166,783.5,252,52,GA,641
118,Huntsville,Alabama,194585,552.7,349,79,AL,646
119,Columbus,Georgia,194058,560.5,353,54,GA,638
120,Grand Prairie,Texas,193837,187.3,1018,21,TX,999
121,Shreveport,Louisiana,192036,277.4,700,68,LA,725
122,Overland Park,Kansas,191278,194.5,971,30,KS,968
123,Tallahassee,Florida,191049,260,734,91,FL,804
124,Mobile,Alabama,190265,361,534,86,AL,771
125,Port St. Lucie,Florida,189344,307.9,601,31,FL,1298
126,Knoxville,Tennessee,187347,255.1,730,210,TN,776
127,Worcester,Massachusetts,185677,96.9,1905,50,MA,970
128,Tempe,Arizona,185038,103.6,1761,239,AZ,923
