,City,State,median_income,murders_2016_pro10e5,assaults_2016_pro10e5
0,Los Angeles,California,"54,432",7.3,396.1
1,Chicago,Illinois,"53,006",28.1,580.3
2,Houston,Texas,"47,793",12.9,534.9
3,Phoenix,Arizona,"52,062",9.2,394.7
4,Philadelphia,Pennsylvania,"41,449",17.4,496.7
5,San Antonio,Texas,"49,268",9.9,479.3
6,San Diego,California,"71,481",3.5,235.1
7,Dallas,Texas,"47,243",12.9,342.9
8,San Jose,California,"101,940",4.5,208.8
9,Austin,Texas,"66,697",4.1,215.8
10,Jacksonville,Florida,"51,298",12.0,388.2
11,San Francisco,California,"103,801",6.5,300.3
12,Columbus,Ohio,"49,602",10.6,162.1
13,Fort Worth,Texas,"56,428",7.7,323.2
14,Indianapolis,Indiana,"44,615",17.1,819.4
15,Charlotte,North Carolina,"61,017",NaN,NaN
16,Seattle,Washington ,"83,476",2.7,353.3
17,Denver,Colorado,"61,105",8.2,402.3
18,Boston,Massachusetts,"63,621",7.3,431.8
19,El Paso,Texas,"43,200",2.5,272.8
20,Detroit,Michigan,"28,099",45.2,"1,475.6"
21,Nashville,Tennessee,NaN,NaN,NaN
22,Memphis,Tennessee,"38,826",29.9,"1,223.1"
23,Portland,Oregon,"62,127",2.2,276.3
24,Oklahoma City,Oklahoma,"52,915",10.9,524.9
25,Las Vegas,Nevada,"51,115",NaN,NaN
26,Louisville,Kentucky,"38,005",NaN,NaN
27,Baltimore,Maryland,"47,350",51.4,833.9
28,Milwaukee,Wisconsin,"38,097",23.5,883.0
29,Albuquerque,New Mexico,"50,522",10.9,684.9
30,Tucson,Arizona,"40,021",5.6,470.5
31,Fresno,California,"44,905",7.4,359.6
32,Sacramento,California,"55,187",8.3,461.0
33,Mesa,Arizona,"52,393",4.0,273.9
34,Kansas City,Missouri,"51,235",27.0,"1,145.8"
35,Atlanta,Georgia ,"53,843",23.5,593.3
36,Long Beach,California,"60,075",6.9,310.2
37,Omaha,Nebraska,"52,672",6.5,369.1
38,Raleigh,North Carolina,"64,456",2.8,230.1
39,Colorado Springs,Colorado,"60,308",5.2,300.4
40,Miami,Florida,"34,901",12.2,534.2
41,Virginia Beach,Virginia,"71,117",4.6,62.9
42,Oakland,California,"68,060",20.0,616.7
43,Minneapolis,Minnesota,"56,255",8.4,549.0
44,Tulsa,Oklahoma,"43,134",17.7,701.2
45,Arlington,Texas,"54,272",5.3,331.8
46,New Orleans,Louisiana,"38,681",43.8,526.9
47,Wichita,Kansas,"49,202",7.9,803.3
48,Cleveland,Ohio,"27,551",35.0,698.0
49,Tampa,Florida,"50,405",7.7,348.2
50,Bakersfield,California,"59,233",8.4,292.5
51,Aurora,Colorado,"59,467",6.0,287.1
52,Anaheim,California,"64,464",2.0,194.9
53,Honolulu,Hawaii,"69,964",NaN,NaN
54,Santa Ana,California,"61,895",6.8,277.4
55,Riverside,California,"63,548",3.1,302.9
56,Corpus Christi,Texas,"54,344",7.3,494.3
57,Lexington,Kentucky,NaN,NaN,NaN
58,Stockton,California,"49,271",15.9,979.1
59,St. Louis,Missouri,"40,346",59.8,"1,156.1"
60,St. Paul,Minnesota,"54,085",6.3,351.1
61,Henderson,Nevada,"68,191",3.4,95.3
62,Pittsburgh,Pennsylvania,"44,707",18.8,399.7
63,Cincinnati,Ohio,"38,539",19.1,380.1
64,Anchorage,Alaska,"85,634",9.4,721.2
65,Greensboro,North Carolina,"45,064",9.1,377.3
66,Plano,Texas,"88,398",1.7,72.2
67,Newark,New Jersey,"31,100",35.5,392.3
68,Lincoln,Nebraska,"55,792",3.6,207.4
69,Orlando,Florida,"46,761",30.2,550.6
70,Irvine,California,"97,496",1.1,21.0
71,Toledo,Ohio,"35,301",13.3,777.0
72,Jersey City,New Jersey,"63,227",9.0,232.6
73,Chula Vista,California,"68,699",0.4,158.8
74,Durham,North Carolina,"52,208",13.2,519.2
75,Fort Wayne,Indiana,"45,232",16.4,188.0
76,St. Petersburg,Florida,"51,474",7.7,396.5
77,Laredo,Texas,"36,195",4.6,239.1
78,Buffalo,New York,"32,883",17.1,625.8
79,Madison,Wisconsin,"61,284",3.2,184.0
80,Lubbock,Texas,"48,103",2.4,825.2
81,Chandler,Arizona,"75,369",1.5,102.7
82,Scottsdale,Arizona,"81,381",1.7,67.7
83,Reno,Nevada,"51,313",3.7,480.9
84,Glendale,Arizona,"51,022",9.5,246.2
85,Norfolk,Virginia,"46,467",18.7,386.6
86,North Las Vegas,Nevada,"55,972",10.9,680.8
87,Gilbert,Arizona,"91,576",1.2,47.3
88,Chesapeake,Virginia,"72,928",5.9,279.8
89,Irving,Texas,"61,362",2.1,110.5
90,Hialeah,Florida,"30,495",2.9,153.3
91,Garland,Texas,"57,063",2.9,124.8
92,Fremont,California,"122,419",0.0,75.0
93,Richmond,Virginia,"42,373",19.5,247.7
94,Boise,Idaho,"55,199",2.7,207.0
95,Baton Rouge,Louisiana,"38,470",20.6,503.1
96,Des Moines,Iowa,"49,203",6.1,485.1
97,Spokane,Washington,"45,676",3.7,364.4
98,San Bernardino,California,"39,472",28.5,823.7
99,Modesto,California,"55,013",6.1,707.9
100,Tacoma,Washington,"55,996",6.2,613.6
101,Fontana,California,"66,073",3.1,247.2
102,Santa Clarita,California,"94,649",0.9,73.8
103,Birmingham,Alabama,"36,241",37.2,"1,109.3"
104,Oxnard,California,"64,279",5.7,209.5
105,Fayetteville,North Carolina,"42,918",12.1,380.5
106,Rochester,New York,"31,693",20.5,463.2
107,Moreno Valley,California,"64,008",4.4,240.5
108,Glendale,California,"64,611",0.5,51.3
109,Huntington Beach,California,"86,112",1.0,112.2
110,Aurora,Illinois,"66,540",3.5,217.2
111,Salt Lake City,Utah,"56,994",6.7,532.2
112,Amarillo,Texas,"51,466",5.5,490.2
113,Montgomery,Alabama,"41,625",15.0,338.2
114,Grand Rapids,Michigan,"45,795",5.1,434.5
115,Little Rock,Arkansas,"45,605",21.1,"1,099.6"
116,Akron,Ohio,"35,184",17.2,281.4
117,Augusta,Georgia,"38,238",NaN,NaN
118,Huntsville,Alabama,"51,895",9.3,624.7
119,Columbus,Georgia,"40,123",11.9,301.0
120,Grand Prairie,Texas,"62,391",4.7,133.5
121,Shreveport,Louisiana,"34,647",21.4,597.6
122,Overland Park,Kansas,"78,602",2.1,108.9
123,Tallahassee,Florida,"43,663",5.7,554.9
124,Mobile,Alabama,"39,463",17.6,455.3
125,Port St. Lucie,Florida,"51,447",1.6,108.0
126,Knoxville,Tennessee,"35,816",9.6,585.8
127,Worcester,Massachusetts,"44,020",4.3,637.6
128,Tempe,Arizona,"56,365",2.2,283.2
129,Cape Coral,Florida,"57,006",2.8,95.8
130,Brownsville,Texas,"36,584",2.2,142.3
131,McKinney,Texas,"87,356",2.9,73.1
132,Providence,Rhode Island,"40,335",5.6,339.6
133,Fort Lauderdale,Florida,"52,813",9.9,315.6
134,Newport News,Virginia,"50,524",16.5,263.1
135,Chattanooga,Tennessee,"41,226",14.6,735.1
136,Rancho Cucamonga,California,"81,286",0.6,76.8
137,Frisco,Texas,"124,829",1.3,49.8
138,Sioux Falls,South Dakota,"56,867",3.4,358.5
139,Oceanside,California,"60,487",4.5,227.2
140,Ontario,California,"55,982",4.6,194.1
141,Vancouver,Washington,"56,615",0.0,234.4
142,Santa Rosa,California,"71,854",2.8,248.3
143,Garden Grove,California,"63,566",2.3,179.9
