,City,State,median_income,murders_2016_pro10e5,assaults_2016_pro10e5
0,Charleston,South Carolina,61467,8.1,182
1,Hampton,Virginia,50435,17.7,146.1
2,Surprise,Arizona,60521,4.6,60.5
3,Columbia,South Carolina,48577,7.4,536.1
4,Visalia,California,55280,6.1,216.5
5,Sterling Heights,Michigan,61828,0.8,138.1
6,Gainesville,Florida,32968,2.3,408.4
7,Cedar Rapids,Iowa,57135,3,164.7
8,New Haven,Connecticut,40457,10,567.4
9,Stamford,Connecticut,87662,1.5,154.5
10,Elizabeth,New Jersey,42690,3.9,378
11,Concord,California,76335,0.8,197.1
12,Thousand Oaks,California,100578,0,77.8
13,Kent,Washington,65423,3.9,100.6
14,Santa Clara,California,110110,2.3,63.2
15,Simi Valley,California,94363,1.6,82.5
16,Lafayette,Louisiana,48139,8.5,359.1
17,Topeka,Kansas,45054,13.4,308.3
18,Athens,Georgia,30753,NaN,NaN
19,Round Rock,Texas,72001,0,82.1
20,Hartford,Connecticut,36637,11.3,644.9
21,Norman,Oklahoma,52041,0,166.2
22,Victorville,California,48065,5.7,381.6
23,Fargo,North Dakota,52699,2.5,261.5
24,Berkeley,California,78121,1.6,150.8
25,Vallejo,California,65241,12.3,469.4
26,Abilene,Texas,45713,6.5,273.4
27,Columbia,Missouri,50044,5,225.4
28,Ann Arbor,Michigan,60745,0.8,106.2
29,Allentown,Pennsylvania,35813,8.3,176.6
30,Pearland,Texas,91010,1.9,54.4
31,Beaumont,Texas,42077,11.8,707.6
32,Wilmington,North Carolina,38800,15.9,418.8
33,Evansville,Indiana,38865,6.7,391.1
34,Arvada,Colorado,75082,1.7,77.1
35,Provo,Utah,46883,1.7,60.5
36,Independence,Missouri,45970,7.7,343.5
37,Lansing,Michigan,40160,7.8,807.3
38,Odessa,Texas,56265,3.2,633.9
39,Richardson,Texas,82241,4.4,56.5
40,Fairfield,California,69235,6.1,232.3
41,El Monte,California,48434,2.6,210.5
42,Rochester,Minnesota,67712,0,103.3
43,Clearwater,Florida,41844,4.4,348.5
44,Carlsbad,California,113217,0,106.9
45,Springfield,Illinois,48179,5.1,812.4
46,Temecula,California,90179,0,239.1
47,West Jordan,Utah,71517,1,120
48,Costa Mesa,California,81019,0.9,181
49,Miami Gardens,Florida,47834,NaN,NaN
50,Cambridge,Massachusetts,86657,1.8,169.3
51,College Station,Texas,39068,2.7,126.4
52,Murrieta,California,81467,NaN,NaN
53,Downey,California,65578,0.9,141.2
54,Peoria,Illinois,47369,8.7,425.7
55,Westminster,Colorado,71313,3.5,125.7
56,Elgin,Illinois,61070,1.8,121.4
57,Antioch,California,81203,8,359.5
58,Palm Bay,Florida,45712,3.7,374.9
59,High Point,North Carolina,41250,6.3,411
60,Lowell,Massachusetts,55383,0,209
61,Manchester,New Hampshire,54664,4.5,419.6
62,Pueblo,Colorado,38380,8.2,615.9
63,Gresham,Oregon,58042,4.5,210.8
64,North Charleston,South Carolina,35600,29,524
65,Ventura,California,69933,7.3,179.6
66,Inglewood,California,51620,14.3,314.1
67,Pompano Beach,Florida,42736,6.4,459.9
68,West Palm Beach,Florida,51217,9.3,499.7
69,Everett,Washington,52626,0.9,254.2
70,Richmond,California,61814,18.9,506.9
71,Clovis,California,65976,1.9,137.9
72,Waterbury,Connecticut,38752,9.2,271.9
73,Broken Arrow,Oklahoma,70221,2.8,84.2
74,Lakeland,Florida,47311,3.8,132.4
75,West Covina,California,74076,3.7,122.1
76,Boulder,Colorado,70158,0,161.2
77,Daly City,California,89843,0.9,121.7
78,Santa Maria,California,55775,8.5,267.4
79,Hillsboro,Oregon,75466,0,148.4
80,Norwalk,California,63143,6.5,237.3
81,Lewisville,Texas,58361,0,110.6
82,Tyler,Texas,47811,4.8,241.8
83,League City,Texas,104736,4.9,19.7
84,Burbank,California,72618,0,128.6
85,San Mateo,California,114444,1,170.8
86,Wichita Falls,Texas,42459,8.6,180.5
87,El Cajon,California,45577,1,193.3
88,Davenport,Iowa,45964,6.8,484.9
89,South Bend,Indiana,36711,13.8,556
90,Las Cruces,New Mexico,39201,4.9,150.5
91,Vista,California,61433,2,224.8
92,Renton,Washington,71951,1.1,154.8
93,Sparks,Nevada,57444,3.1,325.9
